weekday_name,month,leap_year_condition,decade,output,output_year,output_day
2,1,0,180,1-1-1800,0,1
3,1,0,180,1-1-1801,1,1
4,1,0,180,1-1-1802,2,1
5,1,0,180,1-1-1803,3,1
6,1,1,180,1-1-1804,4,1
1,1,0,180,1-1-1805,5,1
2,1,0,180,1-1-1806,6,1
3,1,0,180,1-1-1807,7,1
4,1,1,180,1-1-1808,8,1
6,1,0,180,1-1-1809,9,1
0,1,0,181,1-1-1810,0,1
1,1,0,181,1-1-1811,1,1
2,1,1,181,1-1-1812,2,1
4,1,0,181,1-1-1813,3,1
5,1,0,181,1-1-1814,4,1
6,1,0,181,1-1-1815,5,1
0,1,1,181,1-1-1816,6,1
2,1,0,181,1-1-1817,7,1
3,1,0,181,1-1-1818,8,1
4,1,0,181,1-1-1819,9,1
5,1,1,182,1-1-1820,0,1
0,1,0,182,1-1-1821,1,1
1,1,0,182,1-1-1822,2,1
2,1,0,182,1-1-1823,3,1
3,1,1,182,1-1-1824,4,1
5,1,0,182,1-1-1825,5,1
6,1,0,182,1-1-1826,6,1
0,1,0,182,1-1-1827,7,1
1,1,1,182,1-1-1828,8,1
3,1,0,182,1-1-1829,9,1
4,1,0,183,1-1-1830,0,1
5,1,0,183,1-1-1831,1,1
6,1,1,183,1-1-1832,2,1
1,1,0,183,1-1-1833,3,1
2,1,0,183,1-1-1834,4,1
3,1,0,183,1-1-1835,5,1
4,1,1,183,1-1-1836,6,1
6,1,0,183,1-1-1837,7,1
0,1,0,183,1-1-1838,8,1
1,1,0,183,1-1-1839,9,1
2,1,1,184,1-1-1840,0,1
4,1,0,184,1-1-1841,1,1
5,1,0,184,1-1-1842,2,1
6,1,0,184,1-1-1843,3,1
0,1,1,184,1-1-1844,4,1
2,1,0,184,1-1-1845,5,1
3,1,0,184,1-1-1846,6,1
4,1,0,184,1-1-1847,7,1
5,1,1,184,1-1-1848,8,1
0,1,0,184,1-1-1849,9,1
1,1,0,185,1-1-1850,0,1
2,1,0,185,1-1-1851,1,1
3,1,1,185,1-1-1852,2,1
5,1,0,185,1-1-1853,3,1
6,1,0,185,1-1-1854,4,1
0,1,0,185,1-1-1855,5,1
1,1,1,185,1-1-1856,6,1
3,1,0,185,1-1-1857,7,1
4,1,0,185,1-1-1858,8,1
5,1,0,185,1-1-1859,9,1
6,1,1,186,1-1-1860,0,1
1,1,0,186,1-1-1861,1,1
2,1,0,186,1-1-1862,2,1
3,1,0,186,1-1-1863,3,1
4,1,1,186,1-1-1864,4,1
6,1,0,186,1-1-1865,5,1
0,1,0,186,1-1-1866,6,1
1,1,0,186,1-1-1867,7,1
2,1,1,186,1-1-1868,8,1
4,1,0,186,1-1-1869,9,1
5,1,0,187,1-1-1870,0,1
6,1,0,187,1-1-1871,1,1
0,1,1,187,1-1-1872,2,1
2,1,0,187,1-1-1873,3,1
3,1,0,187,1-1-1874,4,1
4,1,0,187,1-1-1875,5,1
5,1,1,187,1-1-1876,6,1
0,1,0,187,1-1-1877,7,1
1,1,0,187,1-1-1878,8,1
2,1,0,187,1-1-1879,9,1
3,1,1,188,1-1-1880,0,1
5,1,0,188,1-1-1881,1,1
6,1,0,188,1-1-1882,2,1
0,1,0,188,1-1-1883,3,1
1,1,1,188,1-1-1884,4,1
3,1,0,188,1-1-1885,5,1
4,1,0,188,1-1-1886,6,1
5,1,0,188,1-1-1887,7,1
6,1,1,188,1-1-1888,8,1
1,1,0,188,1-1-1889,9,1
2,1,0,189,1-1-1890,0,1
3,1,0,189,1-1-1891,1,1
4,1,1,189,1-1-1892,2,1
6,1,0,189,1-1-1893,3,1
0,1,0,189,1-1-1894,4,1
1,1,0,189,1-1-1895,5,1
2,1,1,189,1-1-1896,6,1
4,1,0,189,1-1-1897,7,1
5,1,0,189,1-1-1898,8,1
6,1,0,189,1-1-1899,9,1
0,1,0,190,1-1-1900,0,1
1,1,0,190,1-1-1901,1,1
2,1,0,190,1-1-1902,2,1
3,1,0,190,1-1-1903,3,1
4,1,1,190,1-1-1904,4,1
6,1,0,190,1-1-1905,5,1
0,1,0,190,1-1-1906,6,1
1,1,0,190,1-1-1907,7,1
2,1,1,190,1-1-1908,8,1
4,1,0,190,1-1-1909,9,1
5,1,0,191,1-1-1910,0,1
6,1,0,191,1-1-1911,1,1
0,1,1,191,1-1-1912,2,1
2,1,0,191,1-1-1913,3,1
3,1,0,191,1-1-1914,4,1
4,1,0,191,1-1-1915,5,1
5,1,1,191,1-1-1916,6,1
0,1,0,191,1-1-1917,7,1
1,1,0,191,1-1-1918,8,1
2,1,0,191,1-1-1919,9,1
3,1,1,192,1-1-1920,0,1
5,1,0,192,1-1-1921,1,1
6,1,0,192,1-1-1922,2,1
0,1,0,192,1-1-1923,3,1
1,1,1,192,1-1-1924,4,1
3,1,0,192,1-1-1925,5,1
4,1,0,192,1-1-1926,6,1
5,1,0,192,1-1-1927,7,1
6,1,1,192,1-1-1928,8,1
1,1,0,192,1-1-1929,9,1
2,1,0,193,1-1-1930,0,1
3,1,0,193,1-1-1931,1,1
4,1,1,193,1-1-1932,2,1
6,1,0,193,1-1-1933,3,1
0,1,0,193,1-1-1934,4,1
1,1,0,193,1-1-1935,5,1
2,1,1,193,1-1-1936,6,1
4,1,0,193,1-1-1937,7,1
5,1,0,193,1-1-1938,8,1
6,1,0,193,1-1-1939,9,1
0,1,1,194,1-1-1940,0,1
2,1,0,194,1-1-1941,1,1
3,1,0,194,1-1-1942,2,1
4,1,0,194,1-1-1943,3,1
5,1,1,194,1-1-1944,4,1
0,1,0,194,1-1-1945,5,1
1,1,0,194,1-1-1946,6,1
2,1,0,194,1-1-1947,7,1
3,1,1,194,1-1-1948,8,1
5,1,0,194,1-1-1949,9,1
6,1,0,195,1-1-1950,0,1
0,1,0,195,1-1-1951,1,1
1,1,1,195,1-1-1952,2,1
3,1,0,195,1-1-1953,3,1
4,1,0,195,1-1-1954,4,1
5,1,0,195,1-1-1955,5,1
6,1,1,195,1-1-1956,6,1
1,1,0,195,1-1-1957,7,1
2,1,0,195,1-1-1958,8,1
3,1,0,195,1-1-1959,9,1
4,1,1,196,1-1-1960,0,1
6,1,0,196,1-1-1961,1,1
0,1,0,196,1-1-1962,2,1
1,1,0,196,1-1-1963,3,1
2,1,1,196,1-1-1964,4,1
4,1,0,196,1-1-1965,5,1
5,1,0,196,1-1-1966,6,1
6,1,0,196,1-1-1967,7,1
0,1,1,196,1-1-1968,8,1
2,1,0,196,1-1-1969,9,1
3,1,0,197,1-1-1970,0,1
4,1,0,197,1-1-1971,1,1
5,1,1,197,1-1-1972,2,1
0,1,0,197,1-1-1973,3,1
1,1,0,197,1-1-1974,4,1
2,1,0,197,1-1-1975,5,1
3,1,1,197,1-1-1976,6,1
5,1,0,197,1-1-1977,7,1
6,1,0,197,1-1-1978,8,1
0,1,0,197,1-1-1979,9,1
1,1,1,198,1-1-1980,0,1
3,1,0,198,1-1-1981,1,1
4,1,0,198,1-1-1982,2,1
5,1,0,198,1-1-1983,3,1
6,1,1,198,1-1-1984,4,1
1,1,0,198,1-1-1985,5,1
2,1,0,198,1-1-1986,6,1
3,1,0,198,1-1-1987,7,1
4,1,1,198,1-1-1988,8,1
6,1,0,198,1-1-1989,9,1
0,1,0,199,1-1-1990,0,1
1,1,0,199,1-1-1991,1,1
2,1,1,199,1-1-1992,2,1
4,1,0,199,1-1-1993,3,1
5,1,0,199,1-1-1994,4,1
6,1,0,199,1-1-1995,5,1
0,1,1,199,1-1-1996,6,1
2,1,0,199,1-1-1997,7,1
3,1,0,199,1-1-1998,8,1
4,1,0,199,1-1-1999,9,1
5,1,1,200,1-1-2000,0,1
0,1,0,200,1-1-2001,1,1
1,1,0,200,1-1-2002,2,1
2,1,0,200,1-1-2003,3,1
