,weekday_name,month,century,century_year,leap_year_condition,predicted_days_group_index,correct_output
19729,3,2,0,8.0,1,0,4
18483,5,11,0,3.7,0,8,3
103614,6,7,1,5.6,1,9,7
8841,1,11,0,1.9,0,8,8
97054,5,3,0,1.2,1,9,6
23211,5,10,3,5.4,0,8,4
30184,2,4,1,0.9,0,2,6
105477,3,12,0,1.4,0,8,7
44845,5,4,3,3.4,0,2,2
7472,3,7,2,5.4,0,9,8
8480,6,10,0,5.9,0,8,8
14781,0,1,3,4.5,0,9,3
140922,1,6,0,7.4,0,9,8
108210,4,6,3,4.1,0,9,8
102169,4,3,3,1.5,0,9,7
129672,1,12,1,4.9,0,8,5
96926,2,2,2,8.5,0,0,6
24776,2,2,3,1.5,0,0,5
90853,4,11,2,2.7,0,8,4
4789,1,12,3,7.8,0,8,7
102453,2,4,1,9.8,0,2,7
34858,6,3,3,7.2,1,9,7
16238,0,5,1,9.8,0,9,3
48524,4,2,0,0.3,0,0,3
80048,1,8,2,4.9,0,9,9
126011,5,3,0,9.7,0,9,5
80470,2,9,2,7.0,0,9,2
118705,0,9,0,0.9,0,9,3
3420,5,9,2,1.2,1,8,7
80273,2,9,0,7.3,0,9,2
43752,4,2,0,4.3,0,0,2
140294,3,4,2,4.8,1,2,8
102808,3,5,1,5.2,1,9,7
97136,2,3,0,9.4,0,9,6
37664,1,10,3,7.1,0,8,7
7858,1,8,2,3.9,0,9,8
13668,0,11,0,3.4,0,8,2
29087,2,1,2,1.5,0,9,6
36041,3,6,3,5.2,1,9,7
11627,4,5,3,9.9,0,9,9
138900,1,12,0,5.7,0,8,7
37841,5,11,1,4.7,0,8,7
1114,1,3,3,1.2,1,9,7
53682,2,2,3,4.9,0,0,4
31434,5,7,1,5.6,1,9,6
127056,4,5,3,4.0,1,9,5
46568,4,9,0,5.2,1,8,2
69650,1,6,2,7.7,0,9,7
88810,0,6,1,8.9,0,9,4
89002,1,6,3,8.1,0,9,4
120224,1,12,3,2.5,0,8,3
17462,6,8,2,1.9,0,9,3
55855,5,8,1,1.6,1,9,4
82324,1,2,1,1.9,0,0,3
10646,1,3,2,2.0,1,9,9
94422,3,8,1,8.7,0,9,5
11552,2,5,3,2.4,1,9,9
15338,6,3,1,0.0,0,9,3
140392,5,4,3,4.6,0,2,8
13739,4,11,1,0.5,0,8,2
53419,4,2,0,8.6,0,0,4
116501,4,3,2,1.1,0,9,3
98246,6,6,0,0.1,0,9,6
28888,6,1,0,1.6,1,9,6
35596,1,5,3,0.8,1,9,7
146336,1,12,2,7.5,0,8,9
89988,5,9,1,6.4,1,8,4
68207,2,3,0,3.7,0,9,7
103220,5,6,1,6.3,0,9,7
12491,4,8,0,6.0,1,9,9
40935,1,7,0,3.3,0,9,8
75579,0,9,1,9.1,0,9,8
97884,3,5,0,4.0,1,9,6
113222,2,7,1,4.0,1,9,9
97874,4,5,0,3.0,0,9,6
105689,1,12,2,2.6,0,8,7
47776,3,12,0,5.7,0,8,9
80924,6,10,3,2.3,0,8,9
9306,6,12,0,8.3,0,8,8
19346,2,1,0,9.8,0,9,4
118334,6,8,0,3.9,0,9,3
56514,0,9,3,7.4,0,9,4
87514,3,3,0,9.6,1,9,4
25922,0,5,2,5.8,0,9,5
16374,1,5,3,3.4,0,9,3
