,leap_year_condition,decade,predicted_year_digit,predicted_year
93803,0,217,9,2179
110270,1,219,2,2192
15897,0,205,1,2051
78831,0,203,1,2031
68188,0,181,5,1815
108097,1,202,8,2028
53813,0,187,5,1875
104418,0,195,1,1951
20916,1,186,8,1868
77733,1,214,2,2142
134763,0,182,5,1825
86516,0,210,1,2101
86153,0,213,9,2139
41143,0,204,1,2041
120760,0,185,5,1855
8776,0,215,9,2159
68723,1,195,8,1958
131296,0,196,1,1961
123971,0,186,5,1865
71100,0,192,1,1921
70855,0,207,1,2071
135602,1,216,2,2162
70245,0,187,5,1875
86000,0,198,1,1981
139084,0,204,1,2041
140581,0,193,1,1931
30597,0,192,1,1921
1099,0,209,1,2091
57497,0,195,1,1951
73537,0,195,1,1951
110647,1,217,2,2172
127898,1,218,2,2182
91686,0,205,1,2051
62179,1,182,8,1828
69162,0,199,1,1991
128612,1,209,2,2092
87146,0,192,1,1921
141898,1,204,8,2048
83017,0,181,5,1815
126045,0,193,1,1931
56807,0,206,1,2061
54562,0,182,5,1825
70363,1,198,8,1988
70044,0,207,1,2071
81195,0,199,1,1991
83371,1,216,2,2162
61279,0,212,9,2129
48984,0,186,5,1865
19668,0,181,5,1815
69043,0,187,5,1875
33206,1,212,2,2122
35355,0,186,5,1865
45397,1,188,8,1888
83663,0,205,1,2051
36473,0,218,9,2189
107566,0,189,5,1895
124347,0,183,5,1835
126154,1,204,8,2048
38202,0,190,5,1905
63652,0,209,1,2091
60485,0,213,9,2139
10641,0,201,1,2011
79558,1,196,8,1968
93078,0,184,5,1845
115572,1,188,8,1888
13656,0,182,5,1825
108536,0,206,1,2061
15895,1,205,8,2058
103465,0,180,5,1805
36563,1,187,8,1878
22708,1,205,8,2058
91094,0,186,5,1865
8447,0,182,5,1825
50828,0,210,1,2101
125245,0,193,1,1931
56607,0,186,5,1865
120121,0,202,1,2021
58820,0,207,1,2071
72559,0,217,9,2179
22267,1,201,8,2018
7526,1,210,2,2102
24665,1,200,8,2008
119387,0,209,1,2091
93095,0,186,5,1865
101118,0,186,5,1865
138695,0,205,1,2051
66709,0,194,1,1941
48008,0,208,1,2081
44149,0,183,5,1835
53369,1,183,8,1838
44846,0,213,9,2139
72277,0,189,5,1895
92286,1,185,8,1858
24961,0,189,5,1895
83014,0,180,5,1805
98929,0,208,1,2081
4189,0,197,1,1971
9311,1,188,8,1888
104236,0,217,9,2179
122108,1,200,8,2008
2527,0,192,1,1921
118479,1,198,8,1988
38325,0,203,1,2031
141642,0,219,9,2199
73383,0,180,5,1805
28756,0,208,1,2081
102437,0,198,1,1981
24608,0,194,1,1941
71184,0,200,1,2001
18920,0,187,5,1875
11569,0,214,9,2149
16818,0,217,9,2179
70411,1,203,8,2038
54580,1,184,8,1848
76407,0,201,1,2011
13697,0,186,5,1865
112427,0,194,1,1941
64892,0,213,9,2139
104706,0,184,5,1845
29456,0,198,1,1981
117863,0,217,9,2179
39906,0,200,1,2001
6035,1,182,8,1828
16636,0,199,1,1991
41739,0,183,5,1835
144195,0,193,1,1931
96097,0,205,1,2051
60246,1,189,8,1898
143131,0,207,1,2071
1107,0,210,1,2101
101931,0,187,5,1875
74831,0,204,1,2041
35034,0,194,1,1941
57302,1,216,2,2162
63213,1,205,8,2058
65548,0,198,1,1981
67633,0,206,1,2061
126221,0,210,1,2101
88325,0,190,5,1905
80617,1,181,8,1818
48317,0,199,1,1991
115500,1,181,8,1818
59879,0,193,1,1931
88241,0,182,5,1825
34746,1,206,8,2068
82409,1,200,8,2008
33639,1,215,2,2152
3535,0,212,9,2129
9697,0,187,5,1875
121551,1,184,8,1848
56547,0,180,5,1805
142178,0,192,1,1921
129620,0,189,5,1895
62047,0,209,1,2091
115469,0,218,9,2189
42677,0,197,1,1971
103473,0,181,5,1815
99657,0,200,1,2001
93443,0,181,5,1815
126513,0,199,1,1991
98952,0,210,1,2101
91090,0,186,5,1865
83411,0,180,5,1805
37646,0,215,9,2159
30737,0,206,1,2061
103329,1,207,2,2072
31780,0,190,5,1905
93694,0,206,1,2061
91012,0,218,9,2189
51314,0,218,9,2189
87656,0,203,1,2031
98043,0,199,1,1991
70037,0,206,1,2061
48193,0,187,5,1875
96025,0,198,1,1981
110094,1,202,8,2028
131310,0,198,1,1981
70930,0,215,9,2159
117609,1,191,8,1918
43690,0,218,9,2189
117491,0,219,9,2199
97538,0,189,5,1895
19699,0,185,5,1855
88490,0,207,1,2071
39664,0,216,9,2169
24581,1,192,8,1928
70076,0,210,1,2101
7987,1,216,2,2162
16719,0,207,1,2071
122255,0,215,9,2159
90810,1,198,8,1988
