,index
0,133525
1,44241
2,95569
3,81003
4,66994
5,121580
6,77416
7,140845
8,113990
9,99749
10,38701
11,70608
12,91531
13,35861
14,135349
15,43909
16,21733
17,24922
18,113465
19,66643
20,16889
21,120351
22,61246
23,24120
24,87683
25,50046
26,108296
27,121668
28,70813
29,32042
30,88109
31,17252
32,23119
33,8117
34,57533
35,59482
36,124447
37,62230
38,134362
39,25094
40,17236
41,137491
42,47674
43,93687
44,132249
45,106016
46,5340
47,125349
48,133959
49,121575
50,108375
51,88315
52,143472
53,87965
54,128258
55,49593
56,89504
57,103842
58,55891
59,124271
60,77687
61,39794
62,11420
63,22746
64,129726
65,129992
66,12034
67,67181
68,75220
69,98060
70,75108
71,90392
72,100636
73,20879
74,60274
75,44667
76,16203
77,55609
78,63329
79,126763
80,48322
81,58724
82,126436
83,94199
84,96408
85,92234
86,68902
87,107201
88,9599
89,18149
90,63658
91,66432
92,47875
93,59673
94,55204
95,110995
96,116433
97,89642
98,105367
99,28567
100,87525
101,136959
102,51296
103,119776
104,57351
105,104122
106,120038
107,135387
108,40948
109,125887
110,25950
111,122337
112,64701
113,12791
114,9762
115,59103
116,26621
117,117646
118,54307
119,103812
120,45460
121,112763
122,143401
123,86907
124,31868
125,116281
126,122142
127,7868
128,31570
129,59169
130,80571
131,31270
132,33233
133,88023
134,107561
135,47492
136,109696
137,142632
138,126865
139,26382
140,105839
141,37983
142,45567
143,93211
144,104688
145,80955
146,145925
147,136371
148,20898
149,76993
150,49113
151,26136
152,91723
153,80063
154,82327
155,108595
156,12378
157,115424
158,126632
159,123604
160,66768
161,69765
162,77068
163,143841
164,29756
165,132341
166,12300
167,114751
168,138197
169,125838
170,82712
171,10198
172,105102
173,3816
174,145877
175,102457
176,1527
177,49315
178,14482
179,129060
180,72520
181,32001
182,27007
183,112548
184,63008
185,77134
186,184
187,39663
188,59151
189,1057
190,78861
191,1698
192,81769
193,132334
194,107260
195,18224
196,35933
197,125502
198,84632
199,75403
200,141240
201,68648
202,60064
203,141571
204,104163
205,110307
206,9740
207,65038
208,123982
209,31624
210,45412
211,77024
212,110891
213,84090
214,143965
215,79599
216,63716
217,106609
218,5416
219,44030
220,102450
221,81330
222,56755
223,31502
224,71880
225,25023
226,52600
227,128711
228,60288
229,122838
230,62763
231,22139
232,142062
233,83202
234,120368
235,36757
236,54117
237,34921
238,140693
239,64682
240,45136
241,127322
242,5573
243,137634
244,6730
245,28399
246,78228
247,107900
248,82294
249,113414
250,98323
251,305
252,35281
253,26865
254,77806
255,145783
256,103638
257,18082
258,63777
259,83889
260,13748
261,134399
262,99822
263,71498
264,70833
265,123680
266,45351
267,106555
268,99523
269,11394
270,141089
271,51608
272,116770
273,124495
274,24797
275,119768
276,140182
277,123920
278,92738
279,59270
280,142185
281,64319
282,134049
283,6193
284,99244
285,143128
286,13028
287,29316
288,53282
289,105833
290,96495
291,16486
292,19170
293,31657
294,95368
295,73467
296,47517
297,6902
298,103514
299,36339
300,144555
301,31
302,15843
303,96274
304,59833
305,77116
306,127652
307,146204
308,61822
309,22619
310,96552
311,35929
312,599
313,145703
314,37671
315,54585
316,34059
317,28132
318,125539
319,83692
320,32424
321,21239
322,53370
323,48130
324,58541
325,92888
326,68711
327,20119
328,90248
329,7507
330,72131
331,67471
332,54935
333,52150
334,10476
335,16786
336,31567
337,40402
338,75583
339,142676
340,129362
341,52636
342,127955
343,100948
344,1749
345,98968
346,36883
347,40575
348,54088
349,109958
350,115121
351,32999
352,20331
353,60526
354,38028
355,106222
356,101606
357,53460
358,63074
359,88143
360,59971
361,583
362,16243
363,129386
364,123782
365,97069
366,131106
367,86731
368,63073
369,64227
370,32091
371,32770
372,29537
373,11574
374,129800
375,27724
376,20255
377,64586
378,9388
379,1384
380,123411
381,66789
382,53712
383,15844
384,39797
385,19818
386,94407
387,134555
388,85426
389,136107
390,124172
391,23930
392,140201
393,136956
394,29385
395,111613
396,34430
397,34538
398,75762
399,88760
400,139955
401,10529
402,7437
403,77537
404,135074
405,3297
406,64961
407,95268
408,122836
409,140184
410,76496
411,125023
412,91107
413,48356
414,141623
415,70416
416,28637
417,145175
418,116455
419,38911
420,80906
421,138472
422,93786
423,69139
424,111377
425,134169
426,12724
427,67292
428,83350
429,9685
430,143812
431,92057
432,103740
433,50815
434,105908
435,82885
436,7436
437,54526
438,109703
439,102765
440,22534
441,83936
442,44489
443,88133
444,50846
445,88898
446,19502
447,9545
448,3768
449,82752
450,33796
451,141600
452,19444
453,25976
454,67216
455,40510
456,53309
457,60409
458,53344
459,77823
460,71292
461,61648
462,31036
463,40028
464,114453
465,99915
466,55993
467,62707
468,115468
469,75462
470,82647
471,13186
472,20393
473,82922
474,4010
475,145193
476,100157
477,18455
478,32899
479,1648
480,142693
481,117236
482,61303
483,16907
484,129794
485,106017
486,53238
487,89949
488,70326
489,115374
490,35356
491,114590
492,115939
493,52851
494,33346
495,4230
496,75746
497,58584
498,141499
499,73531
500,28279
501,120325
502,41006
503,18274
504,117162
505,55697
506,109036
507,7845
508,54751
509,136366
510,142344
511,55190
512,76244
513,137220
514,3140
515,143275
516,125510
517,81354
518,4509
519,143177
520,94557
521,44573
522,42230
523,71798
524,14238
525,140946
526,81355
527,76969
528,90930
529,58269
530,136684
531,23713
532,26014
533,57812
534,27357
535,23517
536,33305
537,144692
538,74152
539,47401
540,140081
541,59660
542,133656
543,96876
544,118030
545,4271
546,48353
547,40788
548,29422
549,58778
550,125252
551,6069
552,111833
553,65953
554,52845
555,81975
556,20412
557,14625
558,93812
559,4092
560,73913
561,31199
562,95913
563,90095
564,115725
565,44826
566,42377
567,130015
568,65884
569,101229
570,26853
571,144563
572,119964
573,36647
574,113670
575,63578
576,50599
577,88477
578,108430
579,5862
580,98092
581,130167
582,62667
583,25823
584,63697
585,117061
586,85984
587,89133
588,42940
589,36591
590,76671
591,59735
592,97801
593,78546
594,70511
595,94873
596,18736
597,15943
598,117302
599,41162
600,14197
601,55097
602,61712
603,43205
604,111882
605,126467
606,11428
607,123817
608,6199
609,38008
610,50362
611,2412
612,15376
613,10810
614,106659
615,142073
616,146322
617,71549
618,104061
619,40454
620,113766
621,94243
622,57031
623,138849
624,112509
625,63400
626,16423
627,50655
628,144221
629,60545
630,28489
631,38414
632,123143
633,109230
634,73270
635,141961
636,116208
637,114330
638,17457
639,81709
640,133022
641,36074
642,8731
643,120527
644,16156
645,698
646,63622
647,93589
648,22281
649,89292
650,21967
651,64098
652,105614
653,96454
654,19071
655,47719
656,117058
657,91381
658,70795
659,115646
660,69398
661,27845
662,114777
663,811
664,36144
665,54926
666,71989
667,767
668,64238
669,69206
670,110210
671,74138
672,97951
673,65860
674,69942
675,59540
676,109064
677,66930
678,92700
679,99449
680,126202
681,52639
682,70903
683,107943
684,73384
685,97645
686,24833
687,122263
688,14731
689,40051
690,144523
691,21856
692,17580
693,283
694,38425
695,594
696,135290
697,59668
698,12501
699,108533
700,24641
701,30652
702,140454
703,128369
704,84391
705,120298
706,51815
707,134122
708,80524
709,122681
710,65293
711,34235
712,94217
713,25111
714,80296
715,29095
716,1115
717,33071
718,11592
719,17293
720,61561
721,95813
722,7522
723,64384
724,88229
725,24391
726,136721
727,80617
728,99119
729,118403
730,108729
731,12423
732,6516
733,21308
734,23894
735,92536
736,117118
737,49034
738,5910
739,46268
740,145857
741,23392
742,20634
743,14407
744,44488
745,42750
746,81654
747,90203
748,118433
749,50330
750,6795
751,115836
752,144474
753,126324
754,44222
755,92310
756,94158
757,80886
758,95987
759,132793
760,36079
761,108602
762,53857
763,34569
764,118185
765,126115
766,7261
767,73377
768,92762
769,29943
770,34043
771,108926
772,55763
773,145934
774,6841
775,101845
776,19727
777,131011
778,88862
779,29131
780,65255
781,126076
782,4753
783,56424
784,107731
785,77602
786,54981
787,80978
788,13272
789,79233
790,129018
791,29925
792,24965
793,117650
794,36138
795,52987
796,116632
797,45583
798,77218
799,62558
800,50548
801,12325
802,18972
803,87152
804,97382
805,50077
806,31309
807,119321
808,7493
809,109990
810,74098
811,120536
812,102707
813,137725
814,9501
815,112936
816,65064
817,86547
818,72916
819,67185
820,95592
821,146231
822,50319
823,38651
824,6550
825,89715
826,128518
827,41690
828,116451
829,109308
830,20153
831,2261
832,127557
833,13898
834,120353
835,127581
836,130483
837,51365
838,73622
839,113771
840,45952
841,137792
842,137042
843,81005
844,32952
845,1215
846,37380
847,134084
848,140131
849,85605
850,88293
851,71854
852,101252
853,65339
854,63928
855,107263
856,36826
857,57315
858,107385
859,135248
860,32876
861,60319
862,45263
863,126991
864,52608
865,94330
866,74493
867,113499
868,61626
869,47690
870,50755
871,46182
872,795
873,36818
874,80697
875,53411
876,57485
877,28904
878,23624
879,11858
880,141666
881,15204
882,27519
883,143829
884,79148
885,34624
886,99494
887,37881
888,130071
889,66532
890,15789
891,15473
892,77904
893,32449
894,86679
895,96055
896,44710
897,14516
898,129400
899,34273
900,82434
901,27750
902,79837
903,72195
904,141368
905,64967
906,8781
907,26061
908,119431
909,104345
910,79801
911,56221
912,74135
913,49726
914,30691
915,105386
916,6006
917,104833
918,117834
919,47780
920,21502
921,83946
922,75095
923,112760
924,94119
925,21597
926,57898
927,1120
928,114622
929,81372
930,132089
931,516
932,4574
933,14157
934,24580
935,112816
936,83981
937,129773
938,34875
939,118955
940,140406
941,119404
942,57984
943,74261
944,35367
945,100900
946,114448
947,45039
948,88952
949,21289
950,34452
951,110920
952,75695
953,34121
954,30866
955,98039
956,51887
957,43246
958,99778
959,47810
960,15709
961,133404
962,42190
963,49844
964,48541
965,109672
966,146164
967,47523
968,86493
969,77570
970,123259
971,11829
972,32451
973,28788
974,56621
975,129371
976,107502
977,23970
978,47486
979,74695
980,111908
981,50793
982,20865
983,114983
984,136357
985,127060
986,57471
987,77830
988,109926
989,135646
990,104402
991,54684
992,75830
993,94981
994,136421
995,117797
996,48197
997,18592
998,65706
999,42275
1000,45692
1001,137766
1002,102745
1003,29328
1004,144430
1005,141384
1006,112624
1007,37681
1008,113031
1009,11499
1010,139190
1011,68999
1012,52887
1013,34266
1014,93131
1015,39745
1016,116570
1017,53012
1018,121641
1019,6264
1020,88403
1021,134466
1022,53023
1023,134998
1024,47795
1025,107538
1026,73482
1027,51290
1028,129377
1029,101484
1030,72995
1031,94839
1032,139006
1033,51654
1034,37444
1035,78379
1036,96881
1037,41356
1038,59464
1039,56586
1040,100296
1041,124251
1042,134738
1043,102250
1044,102554
1045,22051
1046,23601
1047,106612
1048,30828
1049,74158
1050,4637
1051,32108
1052,63171
1053,145131
1054,135705
1055,125308
1056,1367
1057,96324
1058,24961
1059,76141
1060,65104
1061,30967
1062,134635
1063,7797
1064,42908
1065,47058
1066,37063
1067,14720
1068,92372
1069,1479
1070,53580
1071,115375
1072,67023
1073,87260
1074,137949
1075,36669
1076,118263
1077,90963
1078,117251
1079,130320
1080,37102
1081,39681
1082,73814
1083,53368
1084,69227
1085,27893
1086,49501
1087,111420
1088,129271
1089,34263
1090,9541
1091,17801
1092,8634
1093,140600
1094,39546
1095,41842
1096,18404
1097,78439
