,leap_year_condition,decade,decade4,predicted_year_digit,predicted_year
93803,0,217,1,7,2177
110270,1,219,1,2,2192
15897,0,205,1,7,2057
78831,0,203,1,7,2037
68188,0,181,1,9,1819
108097,1,202,0,8,2028
53813,0,187,1,9,1879
104418,0,195,1,7,1957
20916,1,186,0,8,1868
77733,1,214,0,8,2148
134763,0,182,0,6,1826
86516,0,210,0,6,2106
86153,0,213,1,7,2137
41143,0,204,0,6,2046
120760,0,185,1,9,1859
8776,0,215,1,7,2157
68723,1,195,1,2,1952
131296,0,196,0,6,1966
123971,0,186,0,6,1866
71100,0,192,0,6,1926
70855,0,207,1,7,2077
135602,1,216,0,8,2168
70245,0,187,1,9,1879
86000,0,198,0,6,1986
139084,0,204,0,6,2046
140581,0,193,1,7,1937
30597,0,192,0,6,1926
1099,0,209,1,7,2097
57497,0,195,1,7,1957
73537,0,195,1,7,1957
110647,1,217,1,2,2172
127898,1,218,0,8,2188
91686,0,205,1,7,2057
62179,1,182,0,8,1828
69162,0,199,1,7,1997
128612,1,209,1,2,2092
87146,0,192,0,6,1926
141898,1,204,0,8,2048
83017,0,181,1,9,1819
126045,0,193,1,7,1937
56807,0,206,0,6,2066
54562,0,182,0,6,1826
70363,1,198,0,8,1988
70044,0,207,1,7,2077
81195,0,199,1,7,1997
83371,1,216,0,8,2168
61279,0,212,0,6,2126
48984,0,186,0,6,1866
19668,0,181,1,9,1819
69043,0,187,1,9,1879
33206,1,212,0,8,2128
35355,0,186,0,6,1866
45397,1,188,0,8,1888
83663,0,205,1,7,2057
36473,0,218,0,6,2186
107566,0,189,1,9,1899
124347,0,183,1,9,1839
126154,1,204,0,8,2048
38202,0,190,0,6,1906
63652,0,209,1,7,2097
60485,0,213,1,7,2137
10641,0,201,1,7,2017
79558,1,196,0,8,1968
93078,0,184,0,6,1846
115572,1,188,0,8,1888
13656,0,182,0,6,1826
108536,0,206,0,6,2066
15895,1,205,1,2,2052
103465,0,180,0,6,1806
36563,1,187,1,2,1872
22708,1,205,1,2,2052
91094,0,186,0,6,1866
8447,0,182,0,6,1826
50828,0,210,0,6,2106
125245,0,193,1,7,1937
56607,0,186,0,6,1866
120121,0,202,0,6,2026
58820,0,207,1,7,2077
72559,0,217,1,7,2177
22267,1,201,1,2,2012
7526,1,210,0,8,2108
24665,1,200,0,8,2008
119387,0,209,1,7,2097
93095,0,186,0,6,1866
101118,0,186,0,6,1866
138695,0,205,1,7,2057
66709,0,194,0,6,1946
48008,0,208,0,6,2086
44149,0,183,1,9,1839
53369,1,183,1,2,1832
44846,0,213,1,7,2137
72277,0,189,1,9,1899
92286,1,185,1,2,1852
24961,0,189,1,9,1899
83014,0,180,0,6,1806
98929,0,208,0,6,2086
4189,0,197,1,7,1977
9311,1,188,0,8,1888
104236,0,217,1,7,2177
122108,1,200,0,8,2008
2527,0,192,0,6,1926
118479,1,198,0,8,1988
38325,0,203,1,7,2037
141642,0,219,1,7,2197
73383,0,180,0,6,1806
28756,0,208,0,6,2086
102437,0,198,0,6,1986
24608,0,194,0,6,1946
71184,0,200,0,6,2006
18920,0,187,1,9,1879
11569,0,214,0,6,2146
16818,0,217,1,7,2177
70411,1,203,1,2,2032
54580,1,184,0,8,1848
76407,0,201,1,7,2017
13697,0,186,0,6,1866
112427,0,194,0,6,1946
64892,0,213,1,7,2137
104706,0,184,0,6,1846
29456,0,198,0,6,1986
117863,0,217,1,7,2177
39906,0,200,0,6,2006
6035,1,182,0,8,1828
16636,0,199,1,7,1997
41739,0,183,1,9,1839
144195,0,193,1,7,1937
96097,0,205,1,7,2057
60246,1,189,1,2,1892
143131,0,207,1,7,2077
1107,0,210,0,6,2106
101931,0,187,1,9,1879
74831,0,204,0,6,2046
35034,0,194,0,6,1946
57302,1,216,0,8,2168
63213,1,205,1,2,2052
65548,0,198,0,6,1986
67633,0,206,0,6,2066
126221,0,210,0,6,2106
88325,0,190,0,6,1906
80617,1,181,1,2,1812
48317,0,199,1,7,1997
115500,1,181,1,2,1812
59879,0,193,1,7,1937
88241,0,182,0,6,1826
34746,1,206,0,8,2068
82409,1,200,0,8,2008
33639,1,215,1,2,2152
3535,0,212,0,6,2126
9697,0,187,1,9,1879
121551,1,184,0,8,1848
56547,0,180,0,6,1806
142178,0,192,0,6,1926
129620,0,189,1,9,1899
62047,0,209,1,7,2097
115469,0,218,0,6,2186
42677,0,197,1,7,1977
103473,0,181,1,9,1819
99657,0,200,0,6,2006
